评论内容,分词结果
回复 :赞同看的时候同样哭的稀里哗啦,回复 : 赞同 看 的 时候 同样 哭 的 稀里哗啦
回复 :兄弟你的想法和我基本一致我出电影院第一件事就是骂现在编剧都是吃干饭的吗白瞎了这么好的题材和画面闭门造车和哗众取众一样不可取,回复 : 兄弟 你 的 想法 和 我 基本一致 我出 电影院 第一件 事 就是 骂 现在 编剧 都 是 吃干饭 的 吗 白 瞎 了 这么 好 的 题材 和 画面 闭门造车 和 哗众 取众 一样 不 可取
回复 : 如果光是为了炫技又何必选择一个受众特殊的主题呢选择一个符合大众口味的不是会更好么而且这个梦境内心世界的表达这种色彩我觉得非常合理,回复 : 如果 光是 为了 炫技 又 何必 选择 一个 受众 特殊 的 主题 呢 选择 一个 符合 大众 口味 的 不是 会 更好 么 而且 这个 梦境 内心世界 的 表达 这种 色彩 我 觉得 非常 合理
正常艺术片和贺岁片的区别,正常 艺术片 和 贺岁片 的 区别
有的人真的傲慢不就特效华丽了点不会讲话别讲真的让人恶心轻易否定别人的劳动成果我真的会屑,有 的 人 真的 傲慢 不 就 特效 华丽 了 点 不会 讲话 别 讲 真的 让 人 恶心 轻易 否定 别人 的 劳动成果 我 真的 会屑
作者在大众里名气不大二次元又不是那么大众然后故事类型也不是大众化多重debuff能有5亿已经算好了而且看里面得片段又不像喜羊羊那种合家欢真是debuff加满了把深海定义为究极冷门都不为过商业化的电影却不迎合市场然后追求商业价值这算什么不是花的时间长技术力高就有人看的,作者 在 大众 里 名气 不 大 二次元 又 不是 那么 大众 然后 故事 类型 也 不是 大众化 多重 debuff 能 有 5 亿 已经 算好 了 而且 看 里面 得 片段 又 不 像 喜羊羊 那种 合家欢 真是 debuff 加满 了 把 深海 定义 为究极 冷门 都 不为过 商业化 的 电影 却 不 迎合 市场 然后 追求 商业价值 这算 什么 不是 花 的 时间 长 技术 力高 就 有人 看 的
回复 :这部电影本来就不是为了叙事而表达而是为了表达而叙事电影中的各种细节的作用和意义远远大于故事本身梦本来就是混乱无序且充满奇妙幻想的不那么清晰的故事线才符合梦境的设定循规蹈矩才是本末倒置,回复 : 这部 电影 本来 就 不是 为了 叙事 而 表达 而是 为了 表达 而 叙事 电影 中 的 各种 细节 的 作用 和 意义 远远 大于 故事 本身 梦 本来 就是 混乱 无序 且 充满 奇妙 幻想 的 不 那么 清晰 的 故事 线 才 符合 梦境 的 设定 循规蹈矩 才 是 本末倒置
回复 : 看之前的有一个评论说过是因为孩子的世界是五彩斑斓的是梦幻的美好的所以画面都比较饱和并且鲜艳华丽个人也觉得很符合孩子对于童话世界中深海的想象,回复 : 看 之前 的 有 一个 评论 说 过 是因为 孩子 的 世界 是 五彩斑斓 的 是 梦幻 的 美好 的 所以 画面 都 比较 饱和 并且 鲜艳 华丽 个人 也 觉得 很 符合 孩子 对于 童话世界 中 深海 的 想象
其实有关于剧情问题有没有一种可能是因为他被从3个小时被删减到不到2个小时,其实 有 关于 剧情 问题 有没有 一种 可能 是因为 他 被 从 3 个 小时 被 删减 到 不到 2 个 小时
回复 :仁者见仁智者见智我觉得这部电影无论是画面还是剧情都足矣算得上是上乘乃至于巅峰的中国动画电影可能不一样的人看到的内容感受到的情感也是不一样的我也不能要求所有人都喜欢这部电影,回复 : 仁者见仁 智者见智 我 觉得 这部 电影 无论是 画面 还是 剧情 都 足矣 算得 上 是 上乘 乃至于 巅峰 的 中国 动画电影 可能 不 一样 的 人 看到 的 内容 感受 到 的 情感 也 是 不 一样 的 我 也 不能 要求 所有人 都 喜欢 这部 电影
今天去刷了真是严重被低估极致绚烂之美每一帧都是一幅心血画作,今天 去 刷 了 真是 严重 被 低估 极致 绚烂 之美 每 一帧 都 是 一幅 心血 画作
可惜拍的并不好看故事甚是平庸,可惜 拍 的 并 不 好看 故事 甚 是 平庸
7年拍的东西就这水平我建议还不如7年多拍几部真的有那个才华的话,7 年 拍 的 东西 就 这 水平 我 建议 还 不如 7 年 多 拍 几部 真的 有 那个 才华 的话
一刷的时候 真的有被参宿的微表情所触动感觉好真实,一刷 的 时候 真的 有 被 参宿 的 微 表情 所 触动 感觉 好 真实
回复 :可能是为了还原幻想中的世界吧我的幻想也像那些画面一样,回复 : 可能 是 为了 还原 幻想 中 的 世界 吧 我 的 幻想 也 像 那些 画面 一样
除了画面外叙事是硬伤这样的电影很难取得成绩,除了 画面 外 叙事 是 硬伤 这样 的 电影 很难 取得 成绩
深海是大量运用了流动的色彩这段可能很多人不太喜欢吧但我个人是认为非常惊艳的,深海 是 大量 运用 了 流动 的 色彩 这 段 可能 很多 人不太 喜欢 吧 但 我 个人 是 认为 非常 惊艳 的
流量明星dddd,流量 明星 dddd
是的今天去二刷了以后电影院都是满江红我这个爱看电影的就能戒掉电影了正好省钱,是 的 今天 去 二刷 了 以后 电影院 都 是 满江红 我 这个 爱看 电影 的 就 能 戒掉 电影 了 正好 省钱
回复 :网盘画质不行最好也要等到上线到各大APP用4K分辨率看,回复 : 网盘 画质 不行 最好 也 要 等到 上线 到 各大 APP 用 4K 分辨率 看
回复 :我的感受跟你恰恰相反我觉得这个点是升华本来觉得平平无奇发现是濒死的梦境与现实联系起来了瞬间我脑袋里就像炸烟花一样非常妙,回复 : 我 的 感受 跟 你 恰恰相反 我 觉得 这个 点 是 升华 本来 觉得 平平 无 奇 发现 是 濒死 的 梦境 与 现实 联系 起来 了 瞬间 我 脑袋 里 就 像 炸 烟花 一样 非常 妙
回复 :不是炫技如果共情能力强的话能感觉出导演的用心,回复 : 不是 炫技 如果 共情 能力 强 的话 能 感觉 出 导演 的 用心
回复 :不是电影没有逻辑是你没有完全看懂它要表达的东西,回复 : 不是 电影 没有 逻辑 是 你 没有 完全 看 懂 它 要 表达 的 东西
首先既然在春节档票房就算是垫底也不低其次是深海受众面真的太小了这绝对是好电影但很多人看完都觉得无聊或者不知道电影在讲什么,首先 既然 在 春节 档 票房 就算 是 垫底 也 不 低 其次 是 深海 受众面 真的 太小 了 这 绝对 是 好 电影 但 很多 人 看 完 都 觉得 无聊 或者 不 知道 电影 在 讲 什么
我们都知道隔壁的小破球才是第一50多天真不熟,我们 都 知道 隔壁 的 小破球 才 是 第一 50 多 天真 不 熟
你放心好了如果后续继续排片一定会支持,你 放心好了 如果 后续 继续 排片 一定 会 支持
回复 :可是我觉得这样的画面又震撼又沉浸,回复 : 可是 我 觉得 这样 的 画面 又 震撼 又 沉浸
回复 :可是我觉得她的故事也很好啊不同于传统的救赎故事用逻辑混乱但动机强烈的梦境去表达参宿希望有人救赎她也把现实中小丑的救赎映射到梦境中的南河身上最终和自己和解完成自我的救赎我觉得很好看很震撼很感动,回复 : 可是 我 觉得 她 的 故事 也 很 好 啊 不同于 传统 的 救赎 故事 用 逻辑 混乱 但 动机 强烈 的 梦境 去 表达 参宿 希望 有人 救赎 她 也 把 现实 中 小丑 的 救赎 映射 到 梦境 中 的 南河 身上 最终 和 自己 和解 完成 自我 的 救赎 我 觉得 很 好看 很 震撼 很 感动
深海可以说是一部非商业的国产动画创作没有附和广大受众以至于看完的时候还有一些懵懵的期间也有三人直接中途离场不得不佩服创作者的勇敢值得支持的,深海 可以 说 是 一部 非商业 的 国产 动画 创作 没有 附和 广大 受众 以至于 看 完 的 时候 还有 一些 懵懵 的 期间 也 有 三人 直接 中途 离场 不得不 佩服 创作者 的 勇敢 值得 支持 的
我真觉得这部电影是我这几年看过有深度也让我有很大感触的一部电影,我 真 觉得 这部 电影 是 我 这 几年 看过 有 深度 也 让 我 有 很大 感触 的 一部 电影
回复 :这个刚好可以和南河最后说那句梦不像现实那样总是五彩斑斓,回复 : 这个 刚好 可以 和 南河 最后 说 那句 梦 不 像 现实 那样 总是 五彩斑斓
回复 :好笑真的很会洗真么简单的对比难道不是有一定阅读量就能猜到开头和结尾的简单故事这么简单的对比设计也做不好剧情还和小学生写的一样想到啥讲啥没有水平,回复 : 好笑 真的 很会 洗 真 么 简单 的 对比 难道 不是 有 一定 阅读 量 就 能 猜 到 开头 和 结尾 的 简单 故事 这么 简单 的 对比 设计 也 做 不好 剧情 还 和 小学生 写 的 一样 想到 啥 讲 啥 没有 水平
回复 :凡凡子有些阅览量都说不出震撼的话这么简单的设计都能做的这么没水平这都能吹真是可悲,回复 : 凡凡子 有些 阅览 量 都 说不出 震撼 的话 这么 简单 的 设计 都 能 做 的 这么 没 水平 这 都 能 吹 真是 可悲
回复 :有啥不知道讲什么的那么小学生水平的剧情就是这么简单的故事都讲不好乱炫技还好意思夸,回复 : 有 啥 不 知道 讲 什么 的 那么 小学生 水平 的 剧情 就是 这么 简单 的 故事 都 讲 不好 乱 炫技 还 好意思 夸
回复 :这么简单的剧情还需要知道表达的啥没阅读量看不出哪没拍好还怪别人看得多了,回复 : 这么 简单 的 剧情 还 需要 知道 表达 的 啥 没 阅读 量 看不出 哪 没 拍 好 还 怪 别人 看得 多 了
我春节档只看了深海观感真的很好不明白为什么垫底,我 春节 档 只 看 了 深海 观感 真的 很 好 不 明白 为什么 垫底
回复 :梦不都是没做完就醒了吗,回复 : 梦 不 都 是 没 做 完 就 醒 了 吗
回复 :主要我想让更多人知道他剧情不好是因为删了一个小时我们都没看过原片不是他七年就做出来这样的,回复 : 主要 我 想 让 更 多 人 知道 他 剧情 不好 是因为 删 了 一个 小时 我们 都 没 看过 原片 不是 他 七年 就 做 出来 这样 的
回复 :我今年就深海二刷其他春节档没时间不值得特地去影院看,回复 : 我 今年 就 深海 二刷 其他 春节 档 没 时间 不 值得 特地去 影院 看
正确的一针见血的国内大部分人压根不配看这部电影,正确 的 一针见血 的 国内 大部分 人 压根 不配 看 这部 电影
回复 :阿凡达世界最顶尖的技术被说成光污染,回复 : 阿凡 达 世界 最 顶尖 的 技术 被 说 成 光污染
回复 :周期是不短但是用不了7-8年主要是人家有工业线动漫影视方面技术壁垒是有的中国做的动画其实也很早的时候开始做了但是缺少正向引导和规划探索加上很多因素可以说现在就是一个很普通的发展探索期不能急,回复 : 周期 是 不 短 但是 用 不了 7 - 8 年 主要 是 人家 有 工业 线 动漫 影视 方面 技术壁垒 是 有 的 中国 做 的 动画 其实 也 很早 的 时候 开始 做 了 但是 缺少 正向 引导 和 规划 探索 加上 很多 因素 可以 说 现在 就是 一个 很 普通 的 发展 探索期 不能 急
一开始看真的被这部电影的特效细节给惊艳到特别还是3d真的好好看很庆幸春节选了这部电影观看,一 开始 看 真的 被 这部 电影 的 特效 细节 给 惊艳 到 特别 还是 3d 真的 好好看 很 庆幸 春节 选 了 这部 电影 观看
哦my god第一梯队???,哦 my god 第一 梯队 ? ? ?
回复 :我也没说他周期费用78年什么的 只是说这中途是有疫情风控影响而且他们公司还经历了漏水什么的对于原创剧本的考量画面的探索所以比正常的制作工期肯定是要长一些国内的动画确实也很早就开始了只是尽量了一些内容的限制传统的束缚经济的制约但不得不得谈及的是上美的动画电影是独具一格的动画审美这也是世界独一份也可以说他们深受传统影响而当下的处境更多困惑观众也成了最重要的一环,回复 : 我 也 没 说 他 周期 费用 78 年 什么 的 只是 说 这 中途 是 有 疫情 风控 影响 而且 他们 公司 还 经历 了 漏水 什么 的 对于 原创 剧本 的 考量 画面 的 探索 所以 比 正常 的 制作 工期 肯定 是 要 长 一些 国内 的 动画 确实 也 很 早就 开始 了 只是 尽量 了 一些 内容 的 限制 传统 的 束缚 经济 的 制约 但 不得不 得 谈及 的 是 上 美的 动画电影 是 独具一格 的 动画 审美 这 也 是 世界 独 一份 也 可以 说 他们 深受 传统 影响 而 当下 的 处境 更 多 困惑 观众 也 成 了 最 重要 的 一环
主要口碑两极分化太严重了,主要 口碑 两极分化 太 严重 了
主要还是国漫口碑已经低得无以复加了粪海里摸金沙没几个愿意,主要 还是 国漫 口碑 已经 低得 无以复加 了 粪 海里 摸 金沙 没 几个 愿意
我第一眼看深海就知道这个片子不是大票房的流浪地球比不上满江红我不服但是深海比不上是理所应当的电影大票房并不是大制作电影本身耐人寻味就行了而是他本身就是为了小众设计的这点相信导演自己也有觉悟,我 第一 眼看 深海 就 知道 这个 片子 不是 大 票房 的 流浪 地球 比不上 满江红 我 不服 但是 深海 比不上 是 理所应当 的 电影 大 票房 并 不是 大 制作 电影 本身 耐人寻味 就行了 而是 他 本身 就是 为了 小 众 设计 的 这点 相信 导演 自己 也 有 觉悟
观众哪懂建模他们只看结果最直观的就是感受电影给人的感受才是大卖的原因谁会考虑制作过程和观众又有什么关系,观众 哪 懂 建模 他们 只 看 结果 最 直观 的 就是 感受 电影 给 人 的 感受 才 是 大卖 的 原因 谁 会 考虑 制作 过程 和 观众 又 有 什么 关系
回复 :如果深海是美国片能乱杀大卖可惜,回复 : 如果 深海 是 美国 片能 乱 杀大卖 可惜
我一个曾经深陷躁郁症两年的中年人春节档我只看了流浪地球2和深海前者让我看到了革命乐观主义后者让我想起了很多过去 我也曾差一点在无意识状态下越过7楼的栏杆我在学会与灰色的现实相处之前也曾经到过深海之眼并且对自己身体造成了伤害那让我产生一种现实的实在感 我后来遇到了一个很好的医生他让我停药他告诉我跟南河一样的话是你的错但是没关系的 看着醒醒吧散场了之后一幅幅参宿幸福的画面我总觉得导演是切身经历过的 是的黑暗如风常伴吾身但是我也有一个幸福的彩色世界,我 一个 曾经 深陷 躁郁症 两年 的 中年人 春节 档 我 只 看 了 流浪 地球 2 和 深海 前者 让 我 看到 了 革命 乐观主义 后者 让 我 想起 了 很多 过去 我 也 曾 差一点 在 无意识 状态 下 越过 7 楼 的 栏杆 我 在 学会 与 灰色 的 现实 相处 之前 也 曾经 到 过 深海 之眼 并且 对 自己 身体 造成 了 伤害 那 让 我 产生 一种 现实 的 实在 感 我 后来 遇到 了 一个 很 好 的 医生 他 让 我 停药 他 告诉 我 跟 南河 一样 的话 是 你 的 错 但是 没关系 的 看着 醒醒 吧 散场 了 之后 一幅幅 参宿 幸福 的 画面 我 总 觉得 导演 是 切身 经历 过 的 是 的 黑暗 如风常 伴吾身 但是 我 也 有 一个 幸福 的 彩色 世界
回复 :我倒是很喜欢色彩,回复 : 我 倒 是 很 喜欢 色彩
回复 :非常同意我觉得恰恰是因为深海没有选择传统的叙事结构反而让梦境世界变得合理最终表达效果有一种意识流小说的感觉我觉得这也是为什么它能提名金熊奖的原因,回复 : 非常 同意 我 觉得 恰恰 是因为 深海 没有 选择 传统 的 叙事 结构 反而 让 梦境 世界 变得 合理 最终 表达 效果 有 一种 意识流 小说 的 感觉 我 觉得 这 也 是 为什么 它 能 提名 金熊奖 的 原因
回复 :这个故事真的烂吗,回复 : 这个 故事 真的 烂 吗
可是我真的很难过这么优秀的画面建模我真的很希望他有一个完美的编剧故事,可是 我 真的 很 难过 这么 优秀 的 画面 建模 我 真的 很 希望 他 有 一个 完美 的 编剧 故事
问题不大时间会检验一切保持热爱,问题 不 大 时间 会 检验 一切 保持 热爱
其实票房也不错了国内的动画电影的前十了这种题材确实不如熊出没讨喜的,其实 票房 也 不错 了 国内 的 动画电影 的 前 十 了 这种 题材 确实 不如 熊出没 讨喜 的
这算什么剑走偏锋的剧情我看了开头就猜到剧情了精神病患者把自己现实世界的东西想象成自己幻想世界中的意象这种剧情太典了如果能剑走偏锋给我带来点惊喜我都不至于太失望结果看到最后也没惊喜,这算 什么 剑 走 偏锋 的 剧情 我 看 了 开头 就 猜 到 剧情 了 精神病 患者 把 自己 现实 世界 的 东西 想象 成 自己 幻想 世界 中 的 意象 这种 剧情 太典 了 如果 能剑 走 偏锋 给 我 带来 点 惊喜 我 都 不至于 太 失望 结果 看到 最后 也 没 惊喜
這畫面搞個哪吒就廢了,這畫面 搞 個 哪吒 就 廢 了
你肯定没看过宫崎骏的电影抄袭惯犯的导演他火了才天理不容可惜这么多制作人员陪着他抄袭,你 肯定 没 看过 宫崎骏 的 电影 抄袭 惯犯 的 导演 他火 了 才 天理不容 可惜 这么 多 制作人员 陪 着 他 抄袭
回复 :你好请问imax的画面亮吗我买票的时候没注意影厅设备(最近翻看购买记录发现选择的是杜比 这应该是音效体验吧然后实际观看中觉得整体画面有些暗比如说南河救参宿前摔了一跤的时候看不清是什么绊倒他了)最近关注深海的评论发现很多朋友都是推荐看imax,回复 : 你好 请问 imax 的 画面 亮 吗 我 买票 的 时候 没 注意 影厅 设备 ( 最近 翻看 购买 记录 发现 选择 的 是 杜比 这 应该 是 音效 体验 吧 然后 实际 观看 中 觉得 整体 画面 有些 暗 比如说 南河 救 参宿 前 摔了一跤 的 时候 看不清 是 什么 绊倒 他 了 ) 最近 关注 深海 的 评论 发现 很多 朋友 都 是 推荐 看 imax
回复 :我现在才看完除了一开始节奏偏慢叙事角度比较单一分镜角度少后面几乎是另一个高度的作品让我十分震惊编剧挺大胆的在青少年向的作品中很多连动物都不会逝去十分优秀的作品整体来看我会打四星半,回复 : 我 现在 才 看 完 除了 一 开始 节奏 偏慢 叙事 角度 比较 单一 分镜 角度 少 后面 几乎 是 另 一个 高度 的 作品 让 我 十分 震惊 编剧 挺 大胆 的 在 青少年 向 的 作品 中 很多 连 动物 都 不会 逝去 十分 优秀 的 作品 整体 来看 我会 打 四星 半
动画做得真好但是这个剑走偏锋的故事没有讲好至于成本觉得也可以众筹周边走一波比如片尾的漫画书大圣和南河的玩偶海獭的周边等,动画 做 得 真 好 但是 这个 剑 走 偏锋 的 故事 没有 讲好 至于 成本 觉得 也 可以 众筹 周边 走 一波 比如 片尾 的 漫画书 大圣 和 南河 的 玩偶 海獭 的 周边 等
主要是春节也不适合领着小孩子看这个啊 大人看完了都难受好几天,主要 是 春节 也 不 适合 领着 小孩子 看 这个 啊 大人 看 完 了 都 难受 好 几天
你说人们为什么要走进电影院,你 说 人们 为什么 要 走进 电影院
说的太好了导演要比我们了解市场还是选择了自己想拍的故事主题我真心希望这个团队通过深海可以赚到钱,说 的 太好了 导演 要 比 我们 了解 市场 还是 选择 了 自己 想 拍 的 故事 主题 我 真心 希望 这个 团队 通过 深海 可以 赚 到 钱
内容空洞是这电影的问题,内容空洞 是 这 电影 的 问题
这么强的功力没有讲好一个故事,这么 强 的 功力 没有 讲好 一个 故事
回复 :是啊他们有实力有钱有人国内敢这样砸的几乎没有,回复 : 是 啊 他们 有 实力 有钱 有人 国内 敢 这样 砸 的 几乎 没有
国产动画的通病一直都是不注重剧本好的技术不能一直让观众无条件的支持,国产 动画 的 通病 一直 都 是 不 注重 剧本 好 的 技术 不能 一直 让 观众 无条件 的 支持
动画的的质量和美术是不错的但一个动画他的外表再优秀没有优秀剧本来赋予灵魂也是没有意义的我们现在注重制作技术这很好我也是看上影和日本动画长大的一代也接触过动画的制作不过是二维手绘也知道分镜设计和原画设计我们缺的不是技术恰恰是剧本优秀的通俗易懂的有意义的现在没人注重剧本都是找一些小众的东西来穿插和嫁接就像吸D一样只有感觉没有回味如果还认识不到根本的问题即使制作技术是世界一流的作品也不是可以看看上影厂从50年代到90年代的作品尤其是WG时期的你就懂了,动画 的 的 质量 和 美术 是 不错 的 但 一个 动画 他 的 外表 再 优秀 没有 优秀 剧本 来 赋予 灵魂 也 是 没有 意义 的 我们 现在 注重 制作 技术 这 很 好 我 也 是 看 上影 和 日本 动画 长大 的 一代 也 接触 过 动画 的 制作 不过 是 二维 手绘 也 知道 分镜 设计 和 原画 设计 我们 缺 的 不是 技术 恰恰 是 剧本 优秀 的 通俗易懂 的 有 意义 的 现在 没 人 注重 剧本 都 是 找 一些 小众 的 东西 来 穿插 和 嫁接 就 像 吸 D 一样 只有 感觉 没有 回味 如果 还 认识 不到 根本 的 问题 即使 制作 技术 是 世界 一流 的 作品 也 不是 可以 看看 上 影厂 从 50 年代 到 90 年代 的 作品 尤其 是 WG 时期 的 你 就 懂 了
回复 : 我也看了几十年动画了我们不缺制作技术缺的是好的剧本现在小众的东西根本不适合对大众艺术,回复 : 我 也 看 了 几十年 动画 了 我们 不缺 制作 技术 缺 的 是 好 的 剧本 现在 小众 的 东西 根本 不 适合 对 大众 艺术
回复 :不同影院不一样尽量去效果好的imax亮度是不够的激光imax才亮度勉强够,回复 : 不同 影院 不 一样 尽量 去 效果 好 的 imax 亮度 是 不够 的 激光 imax 才 亮度 勉强 够
观影过程中不自觉的联想到皮克斯 宫崎骏 感动中国动画已到达的高度 支持深海 值得2观 3观,观影 过程 中 不 自觉 的 联想 到 皮克斯 宫崎骏 感动 中国 动画 已 到达 的 高度 支持 深海 值得 2 观 3 观
已经贡献了票房值得看,已经 贡献 了 票房 值得 看
人文行业重要的是思想精神力量和社会影响技术画面是辅助本末倒置票房不行不是正常,人文 行业 重要 的 是 思想 精神力量 和 社会 影响 技术 画面 是 辅助 本末倒置 票房 不行 不是 正常
前期节奏比较缓慢无聊.而且上映时机不妥.不符合春节的氛围,前期 节奏 比较 缓慢 无聊 . 而且 上映 时机 不妥 . 不 符合 春节 的 氛围
前者保留意见 后者同意,前者 保留意见 后者 同意
ksemaslrd苦涩,ksemaslrd 苦涩
看得出来导演的野心很大他想做中国的宫崎骏我会支持,看得出来 导演 的 野心 很大 他 想 做 中国 的 宫崎骏 我会 支持
回复 :对我以前从不看中国的动漫电影只看日本的但是这一部电影真的令我震惊到了虽然还是更喜欢日本的但这和日本的已经没有多少差距了!我记住了这个导演的名字以后一定会多看他的电影!,回复 : 对 我 以前 从不 看 中国 的 动漫 电影 只 看 日本 的 但是 这 一部 电影 真的 令 我 震惊 到 了 虽然 还是 更 喜欢 日本 的 但 这 和 日本 的 已经 没有 多少 差距 了 ! 我 记住 了 这个 导演 的 名字 以后 一定 会 多 看 他 的 电影 !
画面太花了加上是3d我只觉得头晕眼花而且里面的元素也不太爱湿答答黏腻腻的剧情也一般吧欣赏不来,画面 太花 了 加上 是 3d 我 只 觉得 头晕眼花 而且 里面 的 元素 也 不太爱 湿答答 黏腻 腻 的 剧情 也 一般 吧 欣赏 不 来
垫底是有原因的刚看过剧情一拖四,垫底 是 有 原因 的 刚 看过 剧情 一拖 四
我也觉得这部电影很好看很震撼,我 也 觉得 这部 电影 很 好看 很 震撼
回复 :炫技怎么了前提是有技术呀你没那技术别说炫了吃翔也赶不上热乎的,回复 : 炫技 怎么 了 前提 是 有 技术 呀 你 没 那 技术 别说 炫 了 吃翔 也 赶不上 热乎 的
不急之后的发展肯定会发生质变,不 急 之后 的 发展 肯定 会 发生 质变
国内有动画电影的市场吗大圣哪吒是靠happyend不是靠你的无人区画面精美故事魅惑的亏大鱼海棠时候观众已经吃了一波了,国内 有 动画电影 的 市场 吗 大圣 哪吒 是 靠 happyend 不是 靠 你 的 无人区 画面 精美 故事 魅惑 的 亏 大鱼 海棠 时候 观众 已经 吃 了 一波 了
个人认为:深海球二并列第一这春节档太神仙打架了,个人 认为 : 深海 球二 并列第一 这 春节 档太 神仙 打架 了
赶在下架前下班特地去看了它值得,赶在 下架 前 下班 特地去 看 了 它 值得
回复 :也只有技术了剧情一拖四,回复 : 也 只有 技术 了 剧情 一拖 四
回复 :愿意去看深海的基本上球2无名都一起看了平等地贡献每一个票房所以深海票房还是比不过别人的,回复 : 愿意 去 看 深海 的 基本上 球 2 无名 都 一起 看 了 平等 地 贡献 每 一个 票房 所以 深海 票房 还是 比 不过 别人 的
那没有可比性动画电影和真人电影是两个概念 而且无名票房并不高截止2023.2.25上映35天后无名票房9.1亿并不比深海8.5亿高多少,那 没有 可比性 动画电影 和 真人 电影 是 两个 概念 而且 无名 票房 并 不 高 截止 2023.2 . 25 上映 35 天后 无名 票房 9.1 亿 并不比 深海 8.5 亿高 多少
制作技术好承认故事内容和结构甚至画面生效混乱也是事实,制作 技术 好 承认 故事 内容 和 结构 甚至 画面 生效 混乱 也 是 事实
回复 :我真是深有同感我在IMAX厅看的中间无数次感觉是视觉污染,回复 : 我 真是 深有同感 我 在 IMAX 厅 看 的 中间 无数次 感觉 是 视觉污染
回复 :怎么说呢这个故事它本身就只能有两个部分一个简单的平凡英雄事迹和一个被救女孩的梦境故事中间那一块参宿帮南河挣星星确实有点冗杂但很有可能是审核不通过删改的原因听说删改的大部分都是克苏鲁元素画面不难想象就是与参宿的心结有关的画面所以说那些冗杂情节多半是替代了原本的心结情节再加上这个故事本来就比较简单出现这种问题实在很难解决啊而且按照我这个说法看深海和coco的故事也是没有太大可比性coco的故事设定明显复杂很多真相也更不容易猜不容易出现深海这种赘叙只能说深海挑了一个难度超高的题目最后还是没有答出最高分吧,回复 : 怎么 说 呢 这个 故事 它 本身 就 只能 有 两个 部分 一个 简单 的 平凡 英雄事迹 和 一个 被 救 女孩 的 梦境 故事 中间 那 一块 参宿 帮 南河 挣 星星 确实 有点 冗杂 但 很 有 可能 是 审核 不 通过 删改 的 原因 听说 删改 的 大部分 都 是 克 苏鲁 元素 画面 不难想象 就是 与 参宿 的 心结 有关 的 画面 所以 说 那些 冗杂 情节 多半 是 替代 了 原本 的 心结 情节 再 加上 这个 故事 本来 就 比较简单 出现 这种 问题 实在 很难 解决 啊 而且 按照 我 这个 说法 看 深海 和 coco 的 故事 也 是 没有 太 大 可比性 coco 的 故事 设定 明显 复杂 很多 真相 也 更 不 容易 猜 不 容易 出现 深海 这种 赘 叙 只能 说 深海 挑 了 一个 难度 超高 的 题目 最后 还是 没有 答 出 最高分 吧
回复 :对,回复 : 对
我赞同但是故事内容一般般都是内心戏,我 赞同 但是 故事 内容 一般般 都 是 内心 戏
呜呜呜春节没时间去电影院但是一直想去看还好还没下档准备这几天就去看,呜呜 呜 春节 没 时间 去 电影院 但是 一直 想 去 看 还好 还 没下 档 准备 这 几天 就 去 看
深海的艺术制作绝对是没有问题的他的大框架也是好的但问题就在于他的具体剧情节奏把握实在太差了举个例子我和我的父母去看对于他们而言第一次看就是看的一脸懵逼看完忙问我中间到底在讲什么事当时我就意识到一个问题这个作品无法很好的抓住大多数路人的感官剧情节奏过于混乱很多人物和事情没有交代清楚就突然放在你眼前虽然最后前后连上了但中间的剧情却显得十分鸡肋我个人觉得这是一个非常优秀的制作组碰上了一个完全不匹配的编剧把钱砸在了制作上却忽略了一个好剧本对于观众感官的重要性,深海 的 艺术 制作 绝对 是 没有 问题 的 他 的 大 框架 也 是 好 的 但 问题 就 在于 他 的 具体 剧情 节奏 把握 实在 太差 了 举个 例子 我 和 我 的 父母 去 看 对于 他们 而言 第一次 看 就是 看 的 一脸 懵 逼 看 完忙 问 我 中间 到底 在 讲 什么 事 当时 我 就 意识 到 一个 问题 这个 作品 无法 很 好 的 抓住 大多数 路人 的 感官 剧情 节奏 过于 混乱 很多 人物 和 事情 没有 交代 清楚 就 突然 放在 你 眼前 虽然 最后 前后 连上 了 但 中间 的 剧情 却 显得 十分 鸡肋 我 个人 觉得 这是 一个 非常 优秀 的 制作组 碰上 了 一个 完全 不 匹配 的 编剧 把 钱 砸 在 了 制作 上 却 忽略 了 一个 好 剧本 对于 观众 感官 的 重要性
最气的是隔壁五十多天用的钱比这用心打磨的动漫用的钱都多真的很想质问质问隔壁的钱怎么用的,最气 的 是 隔壁 五十多天 用 的 钱 比 这 用心 打磨 的 动漫 用 的 钱 都 多 真的 很想 质问 质问 隔壁 的 钱 怎么 用 的
+1 不如百度云盘哈哈哈哈,+ 1 不如 百度 云盘 哈哈哈哈
绝对第一 灯光渲染布料路过,绝对 第一 灯光 渲染 布料 路过
我没看过深海不做评价听说下架了但是我们这还有排片江苏沭阳待吾观后感,我 没 看过 深海 不 做 评价 听说 下架 了 但是 我们 这 还有 排片 江苏 沭阳 待 吾 观后感
